buy_date,sell_date,symbol,buy_price,sell_price,shares,cost,proceeds,profit,pct_return,cash_after
2025-04-17,2025-04-25,MGM,28.65,31.62,125,3581.25,3952.5,371.25,0.10366492146596859,3967.599999999997
2025-04-21,2025-04-28,SLB,33.89,33.66,117,3965.13,3938.22,-26.91000000000031,-0.0067866627323695085,3940.689999999997
2025-04-22,2025-04-29,DAL,39.74,41.24,99,3934.26,4082.76,148.5,0.0377453447408153,4089.189999999997
2025-04-23,2025-04-30,APA,15.74,15.62,259,4076.66,4045.58,-31.079999999999927,-0.0076238881829732985,4058.109999999997
2025-04-24,2025-05-01,APA,15.58,15.06,260,4050.8,3915.6,-135.20000000000027,-0.03337612323491663,3922.9099999999967
2025-04-25,2025-05-02,NOC,459.41,486.48,8,3675.28,3891.84,216.55999999999995,0.058923401754424135,4139.469999999997
2025-04-28,2025-05-05,UNH,411.41,391.19,10,4114.1,3911.9,-202.20000000000027,-0.04914805182178368,3937.2699999999963
2025-04-29,2025-05-06,FISV,177.64,183.16,22,3908.08,4029.52,121.44000000000005,0.031074082413870763,4058.7099999999964
2025-04-30,2025-05-07,HUM,271.49,253.05,14,3800.86,3542.7000000000003,-258.15999999999985,-0.0679214704040664,3800.5499999999965
2025-05-01,2025-05-08,HUM,262.3,250.93,14,3672.2000000000003,3513.02,-159.1800000000003,-0.04334731223789562,3641.3699999999963
2025-05-02,2025-05-09,HUM,257.02,251.54,14,3598.2799999999997,3521.56,-76.7199999999998,-0.021321297953466604,3564.6499999999965
2025-05-05,2025-05-12,NOC,487.33,473.87,7,3411.31,3317.09,-94.2199999999998,-0.027619887960929908,3470.4299999999967
2025-05-06,2025-05-13,NOC,485.26,472.64,7,3396.8199999999997,3308.48,-88.33999999999969,-0.02600667683303787,3382.089999999997
2025-05-07,2025-05-14,XYZ,47.48,59.61,71,3371.08,4232.31,861.2300000000005,0.25547598989048037,4243.319999999998
2025-05-08,2025-05-15,FISV,183.92,189.32,23,4230.16,4354.36,124.19999999999982,0.02936059156154846,4367.519999999998
2025-05-09,2025-05-16,VRTX,430.22,435.3,10,4302.200000000001,4353.0,50.79999999999927,0.011807912230951435,4418.319999999997
2025-05-12,2025-05-19,CMG,51.15,51.81,86,4398.9,4455.66,56.76000000000022,0.012903225806451663,4475.079999999997
2025-05-13,2025-05-20,NRG,148.85,159.29,30,4465.5,4778.7,313.1999999999998,0.07013772253946922,4788.279999999997
2025-05-14,2025-05-21,NRG,153.95,157.6,31,4772.45,4885.599999999999,113.14999999999964,0.023708996427411422,4901.429999999997
2025-05-15,2025-05-22,BDX,168.46,168.17,29,4885.34,4876.929999999999,-8.410000000000764,-0.0017214769084650738,4893.019999999996
2025-05-16,2025-05-23,UNH,273.74,290.22,17,4653.58,4933.740000000001,280.16000000000076,0.06020311244246382,5173.179999999997
2025-05-19,2025-05-27,MRNA,25.27,26.79,204,5155.08,5465.16,310.0799999999999,0.060150375939849614,5483.259999999997
2025-05-20,2025-05-28,VRTX,442.0,446.4,12,5304.0,5356.799999999999,52.79999999999927,0.009954751131221582,5536.059999999996
2025-05-21,2025-05-29,PODD,325.41,324.69,17,5531.97,5519.73,-12.240000000000691,-0.0022125933437818156,5523.819999999995
2025-05-22,2025-05-30,TTD,74.4,74.3,74,5505.6,5498.2,-7.400000000000546,-0.0013440860215054753,5516.419999999995
2025-05-23,2025-06-02,HUM,225.99,230.66,24,5423.76,5535.84,112.07999999999993,0.02066463117837071,5628.4999999999945
2025-05-27,2025-06-03,HUM,224.89,227.91,25,5622.25,5697.75,75.5,0.013428787407176842,5703.9999999999945
2025-05-28,2025-06-04,CPRT,52.82,50.9,107,5651.74,5446.3,-205.4399999999996,-0.03634986747444143,5498.559999999995
2025-05-29,2025-06-05,CPRT,52.12,50.46,105,5472.599999999999,5298.3,-174.29999999999927,-0.03184957789716027,5324.259999999996
2025-05-30,2025-06-06,UNH,292.05,291.33,18,5256.900000000001,5243.94,-12.960000000000946,-0.0024653312788907806,5311.299999999995
2025-06-02,2025-06-09,HPQ,24.13,24.68,220,5308.599999999999,5429.6,121.00000000000091,0.022793203481143977,5432.299999999996
2025-06-03,2025-06-10,COO,66.85,72.34,81,5414.849999999999,5859.54,444.6900000000005,0.08212415856394924,5876.989999999996
2025-06-04,2025-06-11,FICO,1735.03,1780.66,3,5205.09,5341.9800000000005,136.89000000000033,0.02629925707336479,6013.8799999999965
2025-06-05,2025-06-12,FICO,1757.8,1819.54,3,5273.4,5458.62,185.22000000000025,0.035123449766753946,6199.099999999997
2025-06-06,2025-06-13,FICO,1781.03,1755.45,3,5343.09,5266.35,-76.73999999999978,-0.014362475646114847,6122.359999999997
2025-06-09,2025-06-16,DECK,111.5,103.3,54,6021.0,5578.2,-442.8000000000002,-0.07354260089686102,5679.559999999997
2025-06-10,2025-06-17,FICO,1752.91,1799.95,3,5258.7300000000005,5399.85,141.1199999999999,0.026835376602335523,5820.679999999997
2025-06-11,2025-06-18,COO,72.89,68.82,79,5758.31,5436.78,-321.53000000000065,-0.05583756345177676,5499.149999999996
2025-06-12,2025-06-20,COO,71.5,70.53,76,5434.0,5360.28,-73.72000000000025,-0.013566433566433613,5425.429999999996
2025-06-13,2025-06-23,REGN,516.82,508.59,10,5168.200000000001,5085.9,-82.30000000000109,-0.01592430633489437,5343.129999999995
2025-06-16,2025-06-24,PCG,13.65,13.81,391,5337.150000000001,5399.71,62.55999999999949,0.011721611721611624,5405.689999999994
2025-06-17,2025-06-25,TSLA,326.09,342.7,16,5217.44,5483.2,265.7600000000002,0.05093685792265944,5671.449999999994
2025-06-18,2025-06-26,TSLA,317.31,324.61,17,5394.27,5518.37,124.09999999999945,0.023005893290472937,5795.549999999994
2025-06-20,2025-06-27,TSLA,327.95,324.51,17,5575.15,5516.67,-58.47999999999956,-0.01048940387254147,5737.069999999994
2025-06-23,2025-06-30,APP,324.36,341.32,17,5514.12,5802.44,288.3199999999997,0.05228758169934635,6025.389999999994
2025-06-24,2025-07-01,APP,346.92,347.0,17,5897.64,5899.0,1.3599999999996726,0.00023060071486216054,6026.749999999994
2025-06-25,2025-07-02,COIN,360.6,340.58,16,5769.6,5449.28,-320.3200000000006,-0.05551858014420421,5706.429999999993
2025-06-26,2025-07-03,UAL,77.35,81.72,73,5646.549999999999,5965.5599999999995,319.0100000000002,0.0564964447317389,6025.439999999993
2025-06-27,2025-07-07,EQIX,754.65,779.6,7,5282.55,5457.2,174.64999999999964,0.03306168422447485,6200.089999999993
2025-06-30,2025-07-08,EQIX,783.12,768.03,7,5481.84,5376.21,-105.63000000000011,-0.019269077536009826,6094.459999999993
2025-07-01,2025-07-09,APP,347.0,350.27,17,5899.0,5954.59,55.590000000000146,0.009423631123919333,6150.049999999993
2025-07-02,2025-07-10,APP,342.53,359.36,17,5823.009999999999,6109.12,286.1100000000006,0.04913438238986377,6436.1599999999935
2025-07-03,2025-07-11,APP,332.0,342.0,19,6308.0,6498.0,190.0,0.030120481927710843,6626.1599999999935
2025-07-07,2025-07-14,ELV,344.34,334.19,19,6542.459999999999,6349.61,-192.84999999999945,-0.029476680025556055,6433.309999999994
2025-07-08,2025-07-15,MOH,231.6,219.04,27,6253.2,5914.08,-339.1199999999999,-0.05423143350604489,6094.189999999994
2025-07-09,2025-07-16,FSLR,165.3,172.1,36,5950.8,6195.599999999999,244.79999999999927,0.04113732607380508,6338.989999999993
2025-07-10,2025-07-17,EQIX,766.99,753.27,8,6135.92,6026.16,-109.76000000000022,-0.01788810805877525,6229.229999999993
2025-07-11,2025-07-18,FICO,1581.08,1533.39,3,4743.24,4600.17,-143.0699999999997,-0.030162926607129242,6086.1599999999935
2025-07-14,2025-07-21,MOH,221.46,183.39,27,5979.42,4951.53,-1027.8900000000003,-0.17190463289081556,5058.269999999993
2025-07-15,2025-07-22,MOH,219.04,177.9,23,5037.92,4091.7000000000003,-946.2199999999998,-0.1878195763330898,4112.049999999994
2025-07-16,2025-07-23,TSLA,312.8,330.9,13,4066.4,4301.7,235.29999999999973,0.05786445012787717,4347.349999999993
2025-07-17,2025-07-24,WAT,291.34,294.33,14,4078.7599999999998,4120.62,41.86000000000013,0.01026292304523927,4389.209999999994
2025-07-18,2025-07-25,BAX,27.84,28.54,157,4370.88,4480.78,109.89999999999964,0.025143678160919457,4499.109999999993
2025-07-21,2025-07-28,MOH,183.39,164.52,24,4401.36,3948.4800000000005,-452.8799999999992,-0.10289546867331899,4046.229999999994
2025-07-22,2025-07-29,MOH,177.9,160.28,22,3913.8,3526.16,-387.6400000000003,-0.09904440697020805,3658.589999999994
2025-07-23,2025-07-30,TPL,934.46,988.44,3,2803.38,2965.32,161.94000000000005,0.05776598249256257,3820.529999999994
2025-07-24,2025-07-31,EXE,97.39,101.8,39,3798.21,3970.2,171.98999999999978,0.045281856453434584,3992.5199999999936
2025-07-25,2025-08-01,FISV,141.0,138.44,28,3948.0,3876.3199999999997,-71.68000000000029,-0.0181560283687944,3920.8399999999933
2025-07-28,2025-08-04,TXN,184.88,180.11,21,3882.48,3782.3100000000004,-100.16999999999962,-0.02580051925573335,3820.6699999999937
2025-07-29,2025-08-05,INTC,20.69,19.7,184,3806.96,3624.7999999999997,-182.1600000000003,-0.04784920251329153,3638.5099999999934
2025-07-30,2025-08-06,CHTR,280.45,265.83,12,3365.3999999999996,3189.96,-175.4399999999996,-0.05213050454626482,3463.069999999994
2025-07-31,2025-08-07,RVTY,89.93,87.22,38,3417.34,3314.36,-102.98000000000002,-0.03013454909373958,3360.089999999994
2025-08-01,2025-08-08,UPS,82.71,83.45,40,3308.3999999999996,3338.0,29.600000000000364,0.00894692298391983,3389.689999999994
2025-08-04,2025-08-11,DOW,21.24,20.67,159,3377.16,3286.53,-90.62999999999965,-0.026836158192090294,3299.0599999999945
2025-08-05,2025-08-12,LYB,48.85,46.08,67,3272.9500000000003,3087.3599999999997,-185.5900000000006,-0.056704196519959234,3113.469999999994
2025-08-06,2025-08-13,IT,244.0,230.0,12,2928.0,2760.0,-168.0,-0.05737704918032787,2945.469999999994
2025-08-07,2025-08-14,PSKY,11.56,14.8,254,2936.2400000000002,3759.2000000000003,822.96,0.2802768166089965,3768.429999999994
2025-08-08,2025-08-15,FTNT,76.11,77.68,49,3729.39,3806.32,76.93000000000029,0.020628038365523665,3845.359999999994
2025-08-11,2025-08-18,CF,80.52,85.18,47,3784.4399999999996,4003.4600000000005,219.0200000000009,0.05787382016890238,4064.379999999995
2025-08-12,2025-08-19,WBD,10.81,11.77,375,4053.75,4413.75,360.0,0.08880666049953746,4424.379999999996
2025-08-13,2025-08-20,ODFL,148.53,153.29,29,4307.37,4445.41,138.03999999999996,0.032047397832087786,4562.4199999999955
2025-08-14,2025-08-21,BAX,23.8,23.94,191,4545.8,4572.54,26.73999999999978,0.005882352941176422,4589.159999999995
2025-08-15,2025-08-22,PSKY,14.29,15.47,321,4587.09,4965.87,378.77999999999975,0.08257522743177041,4967.939999999995
2025-08-18,2025-08-25,VRTX,392.8,395.52,12,4713.6,4746.24,32.63999999999942,0.006924643584521261,5000.5799999999945
2025-08-19,2025-08-26,VRTX,389.66,387.0,12,4675.92,4644.0,-31.920000000000073,-0.006826464096905009,4968.659999999994
2025-08-20,2025-08-27,WBD,11.53,11.84,430,4957.9,5091.2,133.30000000000018,0.026886383347788416,5101.959999999995
2025-08-21,2025-08-28,WBD,11.42,12.19,446,5093.32,5436.74,343.4200000000001,0.06742556917688268,5445.379999999995
2025-08-22,2025-08-29,WBD,11.67,12.0,466,5438.22,5592.0,153.77999999999975,0.028277634961439542,5599.159999999994
2025-08-25,2025-09-02,TTD,53.19,53.45,105,5584.95,5612.25,27.300000000000182,0.004888136867832332,5626.459999999995
2025-08-26,2025-09-03,TTD,52.57,53.89,107,5624.99,5766.2300000000005,141.2400000000007,0.02510937797222763,5767.699999999995
2025-08-27,2025-09-04,TPR,100.07,103.94,57,5703.99,5924.58,220.59000000000015,0.03867292894973521,5988.289999999995
2025-08-28,2025-09-05,TPR,100.89,105.36,59,5952.51,6216.24,263.72999999999956,0.04430567945286939,6252.019999999995
2025-08-29,2025-09-08,AMAT,162.55,163.49,38,6176.900000000001,6212.620000000001,35.720000000000255,0.0057828360504460575,6287.739999999995
2025-09-02,2025-09-09,DAY,69.47,69.2,90,6252.3,6228.0,-24.300000000000182,-0.0038865697423348497,6263.439999999995
2025-09-03,2025-09-10,COO,66.25,68.19,94,6227.5,6409.86,182.35999999999967,0.029283018867924476,6445.799999999995
2025-09-04,2025-09-11,STZ,145.73,141.79,44,6412.12,6238.759999999999,-173.36000000000058,-0.027036300006862097,6272.439999999994
2025-09-05,2025-09-12,DLTR,100.18,98.94,62,6211.160000000001,6134.28,-76.88000000000102,-0.012377720103813298,6195.559999999993
2025-09-08,2025-09-15,GWW,991.12,1003.12,6,5946.72,6018.72,72.0,0.012107514730809588,6267.559999999993
2025-09-09,2025-09-16,LULU,167.83,160.0,37,6209.71,5920.0,-289.71000000000004,-0.04665435261872133,5977.849999999993
